"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5751","06 · TV - Pago","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5774","09 · Topología de Servicios","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4908","14 · Servicio IPTV - Servicios","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","611","connects to echo server, sends a message and receives it back","websocket","2026-09-07","passed","2026-09-07","[DUMMY] WebSocket smoke","websocket/dummy.spec.ts","",""
"","2139","should connect and receive messages","websocket","2026-09-07","passed","2026-09-07","WebSocket Events","websocket/events.spec.ts","",""
"","1837","should login and logout successfully","ui","2026-09-07","passed","2026-09-07","Login","ui/login.spec.ts","",""
"","784","should load monitors list","ui","2026-09-07","passed","2026-09-07","Monitors UI","ui/monitors.spec.ts","",""
"","4875","15 · Servicio IPTV - IA","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5104","08 · Marketplace - Delivery","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","1050","should navigate to alerts page","ui","2026-09-07","passed","2026-09-07","Alerts UI","ui/alerts.spec.ts","",""
"","6375","05 · Login - Inicio","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4930","18 · Aprovisionamiento - Activación","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","1532","lands on the Totalplay login page","ui","2026-09-07","passed","2026-09-07","Login","ui/login.spec.ts","",""
"","4964","16 · Aprovisionamiento - Cockpit","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4928","07 · Club - Ayuda","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4862","10 · Alertas e Incidencias","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4912","13 · Servicio IPTV - Cockpit","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5190","12 · Análisis de Negocio","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5195","19 · Aprovisionamiento - Gestores","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5168","20 · Aprovisionamiento - IA","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","5875","01 · App de Clientes - Robot Sintético","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","4929","17 · Aprovisionamiento - Origen","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
"","1996","should display 20 dashboards on the index","ui","2026-09-07","passed","2026-09-07","Dashboards UI","ui/dashboards.spec.ts","",""
